seed;algname;m;instance;n;nevals;millis;sol_set;fit_set;n_local_optima
11;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51158352;634;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086;20000
12;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51000768;629;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
13;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51059568;640;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
14;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51322992;645;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
15;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51184224;642;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
16;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51184224;642;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
17;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51113664;641;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086;20000
18;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51059568;641;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
19;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51214800;643;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086;20000
20;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51132480;641;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086;20000
